,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36,Canada,The Most Dialed In Man On Instagram,People & Blogs,100.0,Canada,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6
37,Ghana,"UNITED (New Movie) Ebube Obi, Chioma Nwosu, Uchechi Treasure, Adaeze Onu 2024 Nollywood Movie",People & Blogs,100.0,Ghana,,45.4,52.2,49.6,42.0,46.1,56.1,50.6,49.6,38.6,39.9,45.1,54.8,50.0,49.7,53.2,43.8,46.0
38,Ireland,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Ireland,,71.4,,75.7,70.5,72.6,70.1,69.7,67.6,70.2,68.3,70.4,70.6,69.6,72.5,70.3,68.3,69.1
39,Ireland,Is it a Solid or a Liquid 😳,People & Blogs,50.0,Ireland,,71.4,,75.7,70.5,72.6,70.1,69.7,67.6,70.2,68.3,70.4,70.6,69.6,72.5,70.3,68.3,69.1
40,Ireland,SIDEMEN AMONG US BUT YOU CAN REWIND TIME,People & Blogs,0.0,Ireland,,71.4,,75.7,70.5,72.6,70.1,69.7,67.6,70.2,68.3,70.4,70.6,69.6,72.5,70.3,68.3,69.1
41,Jamaica,Govana x Jada Kingdom - Pull Over (Official Music Video),People & Blogs,0.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
42,Malta,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Malta,,,,,63.3,57.7,61.5,59.6,63.8,64.5,66.1,65.9,66.8,69.1,67.3,61.6,64.4,63.0
43,Malta,Is it a Solid or a Liquid 😳,People & Blogs,50.0,Malta,,,,,63.3,57.7,61.5,59.6,63.8,64.5,66.1,65.9,66.8,69.1,67.3,61.6,64.4,63.0
44,Nigeria,"UNITED (New Movie) Ebube Obi, Chioma Nwosu, Uchechi Treasure, Adaeze Onu 2024 Nollywood Movie",People & Blogs,100.0,Nigeria,,47.1,48.9,49.4,49.8,47.6,,54.9,48.2,,49.3,52.2,53.2,52.5,42.7,55.0,44.8,49.8
45,New Zealand,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,New Zealand,,73.0,76.0,73.8,,72.2,71.9,72.5,72.8,73.1,74.2,72.3,73.3,73.7,72.0,72.6,71.4,71.2
46,New Zealand,Is it a Solid or a Liquid 😳,People & Blogs,50.0,New Zealand,,73.0,76.0,73.8,,72.2,71.9,72.5,72.8,73.1,74.2,72.3,73.3,73.7,72.0,72.6,71.4,71.2
47,New Zealand,Viral Japanese Gummy Candy,People & Blogs,100.0,New Zealand,,73.0,76.0,73.8,,72.2,71.9,72.5,72.8,73.1,74.2,72.3,73.3,73.7,72.0,72.6,71.4,71.2
48,Singapore,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Singapore,,64.6,68.3,66.4,61.5,65.3,65.6,,65.3,70.6,66.2,60.3,63.8,63.8,63.8,,65.9,65.9
49,Singapore,裸絞真的能破解嗎？ #fighting #shorts,People & Blogs,50.0,Singapore,,64.6,68.3,66.4,61.5,65.3,65.6,,65.3,70.6,66.2,60.3,63.8,63.8,63.8,,65.9,65.9
50,Singapore,His Father is angry 😡🤪 #shorts #couple #relationship,People & Blogs,0.0,Singapore,,64.6,68.3,66.4,61.5,65.3,65.6,,65.3,70.6,66.2,60.3,63.8,63.8,63.8,,65.9,65.9
51,South Africa,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,South Africa,,50.8,52.0,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8
52,South Africa,Is it a Solid or a Liquid 😳,People & Blogs,50.0,South Africa,,50.8,52.0,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8
53,South Africa,His Father is angry 😡🤪 #shorts #couple #relationship,People & Blogs,0.0,South Africa,,50.8,52.0,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8
54,Bolivia,I Built a SECRET 7-11 in My Room!,People & Blogs,50.0,Bolivia,,53.7,56.3,53.0,60.9,57.8,57.8,60.2,57.7,58.6,58.3,57.7,56.5,59.2,56.7,55.6,55.7,56.8
55,Chile,I Built a SECRET 7-11 in My Room!,People & Blogs,50.0,Chile,,60.6,57.0,57.9,64.9,66.4,65.3,66.0,67.4,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3
