,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Australia,The Worst Product I've Ever Reviewed... For Now,Science & Technology,100.0,Australia,73.4,,72.8,72.5,,74.5,74.1,72.0,73.6,72.9,73.1,72.5,72.6,71.8,72.3,71.4,71.1,71.0
1,Italy,L’ACCESSORIO DI CUI IL TUO TELEFONO HA BISOGNO!,Science & Technology,100.0,Italy,68.5,,65.7,67.8,63.3,63.5,60.6,58.4,60.1,60.3,58.5,59.5,62.0,65.2,64.5,64.9,64.7,64.0
2,Turkey,Çöldeki Dubai'yi nasıl su bastı? #shorts,Science & Technology,50.0,Turkey,47.2,,56.2,51.2,52.1,54.9,52.7,53.1,48.9,55.8,55.1,53.3,56.1,51.9,48.7,48.6,43.7,46.1
