,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,France,"La vérité VRAIE sur le CT Moto 🎙️ ""Peut-on continuer à se faire plaisir ?""",Autos & Vehicles,100.0,France,70.9,65.8,,70.1,62.8,68.0,69.6,66.5,66.7,64.7,63.6,64.8,66.3,66.7,66.9,67.1,66.6,66.6
1,Hungary,Ezek gyártottak Tigris tankot,Autos & Vehicles,50.0,Hungary,51.9,,49.5,,49.0,47.3,49.2,46.8,49.1,51.8,53.4,54.5,60.6,59.4,60.0,60.4,62.3,60.4
2,Italy,LAMBORGHINI della POLIZIA 👮🏻🚨!  *Scopriamola...*,Autos & Vehicles,50.0,Italy,68.5,,65.7,67.8,63.3,63.5,60.6,58.4,60.1,60.3,58.5,59.5,62.0,65.2,64.5,64.9,64.7,64.0
