,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,Kuwait,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,3.5,Kuwait,4.0,3.5,3.5,3.5,5.5,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,4.0,5.5,5.5,5.5,5.0,7.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
12,Kuwait,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Kuwait,4.0,3.5,3.5,3.5,5.5,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,4.0,5.5,5.5,5.5,5.0,7.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
13,Lebanon,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Lebanon,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5
14,Lebanon,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,3.5,Lebanon,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5
15,Lebanon,كشف جنس الجنين 💖💙 استخدمنا كل الطرق 🥹,Entertainment,7.0,Lebanon,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,4.5,4.5
16,Libya,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Libya,6.5,7.0,7.0,6.5,6.5,6.0,6.0,6.0,6.5,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,4.5,4.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
17,Libya,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,3.5,Libya,6.5,7.0,7.0,6.5,6.5,6.0,6.0,6.0,6.5,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,4.5,4.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
18,Morocco,هبطت عند صديقتنا قدات ليا شعري 💆🏼‍♀️💆🏼‍♀️,Entertainment,3.5,Morocco,4.5,5.0,5.0,5.0,5.0,3.5,3.5,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.5,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0
19,Morocco,تجربة اغلى مياه بالعالم (٤ مليون دولار) 💰,Entertainment,3.5,Morocco,4.5,5.0,5.0,5.0,5.0,3.5,3.5,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.5,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0
20,Morocco,تحدي من سيربح المليون | مع خطيبي 💰,Entertainment,3.5,Morocco,4.5,5.0,5.0,5.0,5.0,3.5,3.5,4.0,4.0,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.5,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0
