,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
33,Canada,"Tom MacDonald - ""God Mode""",Music,100.0,Canada,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6
34,Canada,Dua Lipa - Illusion (Official Music Video),Music,100.0,Canada,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6
35,Canada,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],Music,100.0,Canada,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6
36,Canada,410 (OFFICIAL VIDEO) SIDHU MOOSE WALA | SUNNY MALTON  |  Latest New Punjabi Songs 2024,Music,50.0,Canada,74.2,,74.8,74.9,74.9,76.5,74.3,74.2,75.9,73.0,74.1,72.5,74.2,71.8,71.1,70.3,69.4,69.6
37,Ghana,Black Sherif - Shut Up (Visualizer),Music,100.0,Ghana,,45.4,52.2,49.6,42.0,46.1,56.1,50.6,49.6,38.6,39.9,45.1,54.8,50.0,49.7,53.2,43.8,46.0
38,Israel,"עומר אדם, אודיה, שרק - צמוד צמוד  (Prod.by Omri Dehan x Eliran Eliyahu)",Music,50.0,Israel,,71.7,68.4,72.6,73.5,73.6,74.3,71.1,73.2,74.0,70.8,71.6,73.3,69.3,73.3,72.0,75.8,74.7
39,Israel,אייל גולן - פזמון אחר (Prod. By Tamir Zur),Music,50.0,Israel,,71.7,68.4,72.6,73.5,73.6,74.3,71.1,73.2,74.0,70.8,71.6,73.3,69.3,73.3,72.0,75.8,74.7
40,Israel,אייל גולן - שכחתי מזמן (Prod. by Yaaqov Lamay),Music,50.0,Israel,,71.7,68.4,72.6,73.5,73.6,74.3,71.1,73.2,74.0,70.8,71.6,73.3,69.3,73.3,72.0,75.8,74.7
41,Israel,נועה קירל – בנות כמוני לא בוכות (Prod by Yinon Yahel),Music,50.0,Israel,,71.7,68.4,72.6,73.5,73.6,74.3,71.1,73.2,74.0,70.8,71.6,73.3,69.3,73.3,72.0,75.8,74.7
42,India,Whistle Podu Lyrical Video | The Greatest Of All Time | Thalapathy Vijay | VP | U1 | AGS | T-Series,Music,100.0,India,,53.5,50.3,51.5,45.2,49.9,46.4,47.2,44.3,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4
43,India,"Rathnam(Tamil) - Official Trailer | Vishal, Priya Bhavani Shankar | Hari | Devi Sri Prasad",Music,50.0,India,,53.5,50.3,51.5,45.2,49.9,46.4,47.2,44.3,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4
44,India,Thangalaan - Chiyaan Vikram | Birthday Tribute Video | KE Gnanavelraja | PaRanjith | G VPrakashKumar,Music,100.0,India,,53.5,50.3,51.5,45.2,49.9,46.4,47.2,44.3,44.2,43.4,41.8,40.5,38.2,32.5,42.2,35.6,40.4
45,Jamaica,Raw Cashh - Wah Kinda Life Dis | Official Music Video,Music,50.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
46,Jamaica,Tommy Lee Sparta - Autopilot (Official Music Video),Music,50.0,Jamaica,,62.1,,,,,53.7,,57.1,53.1,,,58.9,,63.1,54.3,58.1,57.0
47,Kenya,Bella Kombo ft. Evelyn Wanjiru & Neema Gospel Choir - Mungu Ni Mmoja (Official Video),Music,100.0,Kenya,,42.2,45.8,40.1,42.7,42.6,44.0,45.5,38.0,49.0,43.6,44.0,44.8,46.6,46.2,45.5,44.6,44.9
48,Malta,Indian man surprised me how he beat at darbuka😱 #alrafaelo #darbuka #india,Music,100.0,Malta,,,,,63.3,57.7,61.5,59.6,63.8,64.5,66.1,65.9,66.8,69.1,67.3,61.6,64.4,63.0
49,Singapore,Whistle Podu Lyrical Video | The Greatest Of All Time | Thalapathy Vijay | VP | U1 | AGS | T-Series,Music,100.0,Singapore,,64.6,68.3,66.4,61.5,65.3,65.6,,65.3,70.6,66.2,60.3,63.8,63.8,63.8,,65.9,65.9
50,Uganda,Azawi - Masavu (Official Music Video),Music,100.0,Uganda,,37.3,44.6,45.7,46.1,41.9,48.3,43.1,37.1,37.7,42.4,42.3,40.0,43.2,49.5,46.4,42.3,44.3
51,South Africa,TitoM & Yuppe - Tshwala Bam [Ft. S.N.E & EeQue] (Official Music Video),Music,100.0,South Africa,,50.8,52.0,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,50.4,49.5,56.0,52.8
52,Zimbabwe,TitoM & Yuppe - Tshwala Bam [Ft. S.N.E & EeQue] (Official Music Video),Music,100.0,Zimbabwe,,38.3,32.8,31.7,40.6,46.8,48.5,49.5,46.9,41.8,37.0,37.4,36.4,36.2,26.9,31.6,31.6,32.0
53,Zimbabwe,Zig Mari - Ras Caleb {Official video} April 2024,Music,100.0,Zimbabwe,,38.3,32.8,31.7,40.6,46.8,48.5,49.5,46.9,41.8,37.0,37.4,36.4,36.2,26.9,31.6,31.6,32.0
54,Zimbabwe,Takura - Sofa Silahlane (Official Audio),Music,100.0,Zimbabwe,,38.3,32.8,31.7,40.6,46.8,48.5,49.5,46.9,41.8,37.0,37.4,36.4,36.2,26.9,31.6,31.6,32.0
55,Zimbabwe,Killer T - Siyana Nazvo (Official Video),Music,50.0,Zimbabwe,,38.3,32.8,31.7,40.6,46.8,48.5,49.5,46.9,41.8,37.0,37.4,36.4,36.2,26.9,31.6,31.6,32.0
56,Argentina,El Malilla - Dime (Video Oficial) ft Maury,Music,50.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
57,Argentina,"Q'Lokura, Luck Ra - MIL PREGUNTAS",Music,50.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
58,Argentina,Las Pastillas del Abuelo & Ke Personajes | Loco por volverla a ver,Music,100.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
59,Argentina,TINI - ángel (Visualizer),Music,100.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
60,Argentina,"El negro tecla, Nahuel The Coach - Tirando Corte (Video Oficial)",Music,50.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
61,Argentina,YSY A - CADA VEZ QUE (PROD. CLUB HATS),Music,50.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
62,Argentina,Sabrina Carpenter - Espresso (Official Video),Music,0.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
63,Argentina,Se me hizo tarde / Ulises Bueno x GSony,Music,100.0,Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67.0,64.3,60.4,57.9,60.9,59.0,59.1,60.2
64,Bolivia,"Q'Lokura, Luck Ra - MIL PREGUNTAS",Music,50.0,Bolivia,,53.7,56.3,53.0,60.9,57.8,57.8,60.2,57.7,58.6,58.3,57.7,56.5,59.2,56.7,55.6,55.7,56.8
65,Bolivia,TINI - ángel (Visualizer),Music,100.0,Bolivia,,53.7,56.3,53.0,60.9,57.8,57.8,60.2,57.7,58.6,58.3,57.7,56.5,59.2,56.7,55.6,55.7,56.8
66,Bolivia,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",Music,50.0,Bolivia,,53.7,56.3,53.0,60.9,57.8,57.8,60.2,57.7,58.6,58.3,57.7,56.5,59.2,56.7,55.6,55.7,56.8
67,Bolivia,Carin León - Cuando La Vida Sea Trago [Official Video],Music,100.0,Bolivia,,53.7,56.3,53.0,60.9,57.8,57.8,60.2,57.7,58.6,58.3,57.7,56.5,59.2,56.7,55.6,55.7,56.8
68,Chile,"Kidd Voodoo, DrefQuila, Young Cister, Easykid - Enrolar (Fantastic Four Remix) (Video Oficial)",Music,100.0,Chile,,60.6,57.0,57.9,64.9,66.4,65.3,66.0,67.4,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3
69,Chile,Sabrina Carpenter - Espresso (Official Video),Music,50.0,Chile,,60.6,57.0,57.9,64.9,66.4,65.3,66.0,67.4,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3
70,Chile,Dua Lipa - Illusion (Official Music Video),Music,100.0,Chile,,60.6,57.0,57.9,64.9,66.4,65.3,66.0,67.4,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3
71,Chile,"Tobal Mj Ft Kail BRL x Cris MJ  ""QUE BRILLE SOLA"" (Video Oficial)",Music,50.0,Chile,,60.6,57.0,57.9,64.9,66.4,65.3,66.0,67.4,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3
72,Chile,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",Music,50.0,Chile,,60.6,57.0,57.9,64.9,66.4,65.3,66.0,67.4,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3
73,Chile,Carin León - Cuando La Vida Sea Trago [Official Video],Music,100.0,Chile,,60.6,57.0,57.9,64.9,66.4,65.3,66.0,67.4,68.4,65.3,65.8,63.2,64.4,59.4,61.5,64.4,63.3
74,Colombia,El Malilla - Dime (Video Oficial) ft Maury,Music,50.0,Colombia,,60.3,61.4,61.7,62.7,64.1,64.6,63.8,66.1,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3
75,Colombia,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",Music,50.0,Colombia,,60.3,61.4,61.7,62.7,64.1,64.6,63.8,66.1,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3
76,Colombia,Carin León - Cuando La Vida Sea Trago [Official Video],Music,100.0,Colombia,,60.3,61.4,61.7,62.7,64.1,64.6,63.8,66.1,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3
77,Colombia,Sabrina Carpenter - Espresso (Official Video),Music,50.0,Colombia,,60.3,61.4,61.7,62.7,64.1,64.6,63.8,66.1,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3
78,Colombia,Dua Lipa - Illusion (Official Music Video),Music,100.0,Colombia,,60.3,61.4,61.7,62.7,64.1,64.6,63.8,66.1,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3
79,Costa Rica,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Costa Rica,,70.8,74.3,68.5,76.2,72.7,72.3,72.7,71.6,72.5,68.5,71.4,72.3,71.4,70.0,63.4,64.1,66.1
80,Dominican Republic,ROCHY  RD - LA CARA TATUADA | Video Oficial 🎭,Music,50.0,Dominican Republic,,50.9,50.8,48.4,54.3,47.4,54.0,47.5,50.2,53.9,50.6,52.4,56.0,54.3,60.0,51.7,60.3,55.7
81,Dominican Republic,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Dominican Republic,,50.9,50.8,48.4,54.3,47.4,54.0,47.5,50.2,53.9,50.6,52.4,56.0,54.3,60.0,51.7,60.3,55.7
82,Dominican Republic,BTS (방탄소년단) BTS POP-UP : MONOCHROME Official Trailer,Music,100.0,Dominican Republic,,50.9,50.8,48.4,54.3,47.4,54.0,47.5,50.2,53.9,50.6,52.4,56.0,54.3,60.0,51.7,60.3,55.7
83,Ecuador,El Malilla - Dime (Video Oficial) ft Maury,Music,50.0,Ecuador,,50.2,50.0,53.0,60.2,58.4,58.0,59.6,60.2,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6
84,Ecuador,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",Music,50.0,Ecuador,,50.2,50.0,53.0,60.2,58.4,58.0,59.6,60.2,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6
85,Ecuador,Dua Lipa - Illusion (Official Music Video),Music,100.0,Ecuador,,50.2,50.0,53.0,60.2,58.4,58.0,59.6,60.2,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6
86,Ecuador,Carin León - Cuando La Vida Sea Trago [Official Video],Music,100.0,Ecuador,,50.2,50.0,53.0,60.2,58.4,58.0,59.6,60.2,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6
87,Ecuador,Sabrina Carpenter - Espresso (Official Video),Music,50.0,Ecuador,,50.2,50.0,53.0,60.2,58.4,58.0,59.6,60.2,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6
88,Spain,SAIKO - YO LO SOÑÉ ft. Omar Montes (Official Video) | SAKURA,Music,50.0,Spain,71.5,,70.0,72.9,62.0,61.9,65.2,62.9,61.5,64.6,63.8,63.2,62.3,65.1,64.6,65.0,64.7,64.4
89,Spain,• Califica del 1 al 10 este regalo 😂🙈🤣,Music,50.0,Spain,71.5,,70.0,72.9,62.0,61.9,65.2,62.9,61.5,64.6,63.8,63.2,62.3,65.1,64.6,65.0,64.7,64.4
90,Spain,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Spain,71.5,,70.0,72.9,62.0,61.9,65.2,62.9,61.5,64.6,63.8,63.2,62.3,65.1,64.6,65.0,64.7,64.4
91,Guatemala,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Guatemala,,59.0,63.3,64.1,64.5,62.9,57.4,58.6,59.9,65.4,64.7,63.6,63.3,66.3,62.6,,,61.5
92,Guatemala,BTS (방탄소년단) BTS POP-UP : MONOCHROME Official Trailer,Music,100.0,Guatemala,,59.0,63.3,64.1,64.5,62.9,57.4,58.6,59.9,65.4,64.7,63.6,63.3,66.3,62.6,,,61.5
93,Honduras,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Honduras,,54.0,51.0,54.2,60.3,58.7,49.6,46.0,47.1,50.6,48.5,56.5,60.2,59.1,59.3,,61.1,60.2
94,Honduras,BTS (방탄소년단) BTS POP-UP : MONOCHROME Official Trailer,Music,100.0,Honduras,,54.0,51.0,54.2,60.3,58.7,49.6,46.0,47.1,50.6,48.5,56.5,60.2,59.1,59.3,,61.1,60.2
95,Mexico,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Mexico,65.8,,65.3,68.3,69.6,68.0,69.1,73.2,74.4,66.8,62.4,68.2,64.1,65.5,64.3,59.6,59.9,63.3
