,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,Nigeria,SCHOOL TRIP | Episode 1 | SACRED BLOOD MASK | High School Drama Series | Nollywood Movies 2024,Comedy,7.0,Nigeria,5.0,5.0,5.0,5.5,5.0,4.5,4.0,2.5,2.5,2.5,,2.5,6.0,6.0,6.0,5.5,5.0,5.5,5.0,4.5,4.5,6.0,6.5,7.0,6.5,6.5,5.0,3.5,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.5,4.5,4.5,4.5
12,Nigeria,SAAMU ALAJO IN IPM; OFFERINGS BOX TRANSFORMED | ODUNLADE ADEKOLA x WOLI AGBA,Comedy,3.5,Nigeria,5.0,5.0,5.0,5.5,5.0,4.5,4.0,2.5,2.5,2.5,,2.5,6.0,6.0,6.0,5.5,5.0,5.5,5.0,4.5,4.5,6.0,6.5,7.0,6.5,6.5,5.0,3.5,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.5,4.5,4.5,4.5
13,New Zealand,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,New Zealand,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Singapore,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,Singapore,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15,South Africa,Tiny Style 2 - #shorts,Comedy,7.0,South Africa,4.0,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16,Spain,¿¡MI MAMÁ ES UN DOPPELGÄNGER!? 😱 | Fabru Blacutt,Comedy,3.5,Spain,5.5,5.5,5.0,5.0,4.0,2.5,2.0,2.0,2.5,2.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,El Salvador,NO PUEDE SER 🤦‍♀️,Comedy,3.5,El Salvador,2.5,2.5,2.5,2.5,3.0,4.0,5.0,4.5,5.0,4.5,,4.5,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5
18,El Salvador,¿¡MI MAMÁ ES UN DOPPELGÄNGER!? 😱 | Fabru Blacutt,Comedy,3.5,El Salvador,2.5,2.5,2.5,2.5,3.0,4.0,5.0,4.5,5.0,4.5,,4.5,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5
19,Finland,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,Finland,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Philippines,BANANA,Comedy,3.5,Philippines,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,5.0,4.0,3.5,3.0,2.0,2.5,2.5,3.0,3.0,3.0,3.5,3.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5
