,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
31,Costa Rica,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Costa Rica,,70.8,74.3,68.5,76.2,72.7,72.3,72.7,71.6,72.5,68.5,71.4,72.3,71.4,70.0,63.4,64.1,66.1
32,Costa Rica,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,50.0,Costa Rica,,70.8,74.3,68.5,76.2,72.7,72.3,72.7,71.6,72.5,68.5,71.4,72.3,71.4,70.0,63.4,64.1,66.1
33,Dominican Republic,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,50.0,Dominican Republic,,50.9,50.8,48.4,54.3,47.4,54.0,47.5,50.2,53.9,50.6,52.4,56.0,54.3,60.0,51.7,60.3,55.7
34,Dominican Republic,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Dominican Republic,,50.9,50.8,48.4,54.3,47.4,54.0,47.5,50.2,53.9,50.6,52.4,56.0,54.3,60.0,51.7,60.3,55.7
35,Dominican Republic,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,50.0,Dominican Republic,,50.9,50.8,48.4,54.3,47.4,54.0,47.5,50.2,53.9,50.6,52.4,56.0,54.3,60.0,51.7,60.3,55.7
36,Ecuador,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,50.0,Ecuador,,50.2,50.0,53.0,60.2,58.4,58.0,59.6,60.2,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6
37,Spain,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Spain,71.5,,70.0,72.9,62.0,61.9,65.2,62.9,61.5,64.6,63.8,63.2,62.3,65.1,64.6,65.0,64.7,64.4
38,Guatemala,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Guatemala,,59.0,63.3,64.1,64.5,62.9,57.4,58.6,59.9,65.4,64.7,63.6,63.3,66.3,62.6,,,61.5
39,Honduras,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Honduras,,54.0,51.0,54.2,60.3,58.7,49.6,46.0,47.1,50.6,48.5,56.5,60.2,59.1,59.3,,61.1,60.2
40,Honduras,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,50.0,Honduras,,54.0,51.0,54.2,60.3,58.7,49.6,46.0,47.1,50.6,48.5,56.5,60.2,59.1,59.3,,61.1,60.2
41,Mexico,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Mexico,65.8,,65.3,68.3,69.6,68.0,69.1,73.2,74.4,66.8,62.4,68.2,64.1,65.5,64.3,59.6,59.9,63.3
42,Nicaragua,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Nicaragua,,44.6,49.4,51.0,53.5,56.9,53.9,54.5,57.7,62.8,59.2,60.1,64.8,58.2,61.1,62.9,61.0,62.6
43,Nicaragua,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,50.0,Nicaragua,,44.6,49.4,51.0,53.5,56.9,53.9,54.5,57.7,62.8,59.2,60.1,64.8,58.2,61.1,62.9,61.0,62.6
44,Panama,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,50.0,Panama,,61.3,68.9,69.3,70.3,73.2,72.5,68.6,68.7,66.3,66.1,61.2,65.7,62.8,60.9,,65.5,62.6
45,Panama,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,50.0,Panama,,61.3,68.9,69.3,70.3,73.2,72.5,68.6,68.7,66.3,66.1,61.2,65.7,62.8,60.9,,65.5,62.6
46,Peru,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,50.0,Peru,,48.1,52.1,51.3,55.2,56.1,58.9,58.3,57.8,58.7,55.8,57.0,57.1,56.8,60.0,49.9,56.9,55.3
47,Paraguay,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,50.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
48,Paraguay,La CARRERA de LAMINE YAMAL durante más de 10 AÑOS en FIFA,Gaming,100.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
49,El Salvador,WWE is real💔,Gaming,0.0,El Salvador,,57.0,53.0,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2
50,Venezuela,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,50.0,Venezuela,71.7,65.3,,62.6,71.9,74.8,65.8,70.7,65.5,61.4,55.7,40.4,50.7,50.1,50.8,45.7,51.1,52.1
51,Finland,Minecraft vihaa minua...,Gaming,100.0,Finland,,76.7,,76.7,,73.9,73.5,74.2,74.5,73.8,74.5,76.6,77.9,78.6,77.8,78.9,77.9,78.0
52,France,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,50.0,France,70.9,65.8,,70.1,62.8,68.0,69.6,66.5,66.7,64.7,63.6,64.8,66.3,66.7,66.9,67.1,66.6,66.6
53,Croatia,WWE is real💔,Gaming,0.0,Croatia,,,58.2,,54.3,56.0,53.9,60.3,58.9,53.8,52.0,54.2,53.4,55.4,56.3,65.1,62.9,61.3
54,Indonesia,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,50.0,Indonesia,,49.5,51.0,48.1,54.7,54.6,51.7,53.7,52.9,56.0,50.4,51.4,51.0,53.4,53.5,48.3,54.3,52.8
55,Indonesia,Ada Naga Hingga Sistem Role Baru! - Kelly Show S5E2 | Free Fire Official Update,Gaming,100.0,Indonesia,,49.5,51.0,48.1,54.7,54.6,51.7,53.7,52.9,56.0,50.4,51.4,51.0,53.4,53.5,48.3,54.3,52.8
56,Japan,かずのこ選手と対談！ プロの重圧・CAGへの想い・配信＆動画のことetc…普段あまり語られない話が聞けました！【前編】,Gaming,50.0,Japan,65.2,,62.4,59.1,58.5,60.6,62.6,59.7,59.6,59.2,58.8,59.5,59.1,57.9,59.1,61.2,60.9,61.3
57,Georgia,WWE is real💔,Gaming,0.0,Georgia,,36.8,37.1,41.6,38.0,41.0,42.0,42.5,43.5,42.9,41.2,44.5,44.5,46.6,48.9,51.2,49.1,51.1
58,Georgia,NO NO NO YES! (Fight SANTA CLAUS) #shorts,Gaming,50.0,Georgia,,36.8,37.1,41.6,38.0,41.0,42.0,42.5,43.5,42.9,41.2,44.5,44.5,46.6,48.9,51.2,49.1,51.1
59,Kazakhstan,WWE is real💔,Gaming,0.0,Kazakhstan,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4
60,Luxembourg,WWE is real💔,Gaming,0.0,Luxembourg,,,,,69.6,71.0,71.0,69.6,71.3,68.9,67.0,69.7,70.6,72.4,74.0,,,72.3
61,Lithuania,WWE is real💔,Gaming,0.0,Lithuania,,59.5,58.1,55.5,54.7,50.7,54.3,57.7,56.0,61.3,57.1,58.7,62.7,63.1,60.6,63.9,68.7,67.6
62,North Macedonia,WWE is real💔,Gaming,0.0,North Macedonia,,,44.9,,44.3,41.8,49.0,46.4,51.9,52.0,49.8,53.5,52.3,52.4,50.1,50.5,55.4,52.5
63,Malaysia,WWE is real💔,Gaming,0.0,Malaysia,,60.1,62.4,58.1,53.9,55.8,57.9,59.1,57.7,59.6,63.2,,,53.4,54.3,60.1,60.1,60.1
64,Netherlands,Welke KANT kies jij? 🙄,Gaming,50.0,Netherlands,74.6,,74.5,76.3,,75.0,75.6,74.7,74.1,73.2,73.2,75.4,74.6,74.6,74.3,75.0,73.1,74.0
65,Poland,"INFLUENCERKA WYKORZYSTAŁA NIEPEŁNOSPRAWNEGO (WERSOW, STANOWSKI, PANDABUY, MIKROCYPEK DRAMA)",Gaming,50.0,Poland,55.9,,58.9,,57.7,58.9,56.5,58.8,57.5,57.5,60.1,61.6,62.0,61.1,62.4,61.4,59.8,62.6
66,Brazil,NOVIDADE: A fachada do T3ddy Atacadista tá de cara nova,Gaming,100.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
67,Brazil,Baixei A Nova ATUALIZAÇÃO Do Free Fire,Gaming,100.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
68,Brazil,É IMPOSSÍVEL SOBREVIVER,Gaming,50.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
69,Portugal,WWE is real💔,Gaming,0.0,Portugal,,54.0,,57.2,,51.0,52.2,49.9,51.6,51.3,50.8,54.5,57.1,59.2,61.0,57.7,61.8,59.7
70,Romania,MrBeast este ROMAN!,Gaming,50.0,Romania,50.5,,53.9,,53.7,49.1,50.2,51.7,50.8,57.3,57.8,59.7,60.9,61.5,61.3,67.8,65.5,65.9
71,Slovenia,WWE is real💔,Gaming,0.0,Slovenia,,58.1,,,58.3,60.8,60.4,60.6,59.8,56.8,57.4,59.4,61.7,62.5,66.7,64.6,67.6,66.5
72,Serbia,WWE is real💔,Gaming,0.0,Serbia,,,47.5,,43.8,44.6,48.1,51.5,51.0,51.1,53.2,57.5,51.2,59.4,62.4,60.4,62.5,61.4
73,Sweden,WWE is real💔,Gaming,0.0,Sweden,73.8,,72.4,75.2,72.7,75.0,73.8,75.6,74.3,72.4,72.9,73.7,72.9,73.8,74.0,73.1,74.4,74.0
74,Thailand,สตรีมเมอร์เจอหลอน | Parasocial パラソーシャル,Gaming,50.0,Thailand,,58.9,57.8,56.4,54.8,62.2,66.6,63.0,62.3,69.8,62.0,60.7,59.4,60.1,60.2,58.9,56.4,58.4
75,Cyprus,WWE is real💔,Gaming,0.0,Cyprus,,62.4,,,68.3,63.9,66.9,61.8,54.4,56.3,54.4,58.0,60.6,62.8,61.4,62.6,62.7,61.3
76,Cambodia,NO NO NO YES! (Fight SANTA CLAUS) #shorts,Gaming,50.0,Cambodia,,35.7,41.6,44.6,41.1,41.4,41.6,39.0,36.7,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9
