,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Australia,life update,Travel & Events,100.0,Australia,73.4,,72.8,72.5,,74.5,74.1,72.0,73.6,72.9,73.1,72.5,72.6,71.8,72.3,71.4,71.1,71.0
1,Iceland,How Long Are Your Blood Vessels? 🤔,Travel & Events,0.0,Iceland,,,,68.9,,,,75.9,75.0,,75.0,75.1,74.8,,75.3,75.8,75.7,75.3
2,Thailand,ฮ่องกง ”หลอน“ กว่าที่คิด เมื่อชั้นถ่ายติด…😱,Travel & Events,50.0,Thailand,,58.9,57.8,56.4,54.8,62.2,66.6,63.0,62.3,69.8,62.0,60.7,59.4,60.1,60.2,58.9,56.4,58.4
