,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
13,New Zealand,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,New Zealand,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,El Salvador,INTENTÓ QUITARLE el ARMA a un POLICÍA,News & Politics,3.5,El Salvador,2.5,2.5,2.5,2.5,3.0,4.0,5.0,4.5,5.0,4.5,,4.5,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5
15,Finland,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Finland,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,Senegal,Arrivée du Président Bassirou Diomaye Faye à Touba,News & Politics,3.5,Senegal,6.0,6.0,5.5,5.0,5.0,4.0,3.5,4.0,4.0,4.0,,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,2.5,3.0,3.0,3.0,3.0
17,Croatia,Intervju sa Zoranom Milanovićem uoči izbora,News & Politics,0.0,Croatia,,,,,,,,,,,,,,,,,,,,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0
18,Hungary,"Magyar Péter a Megbeszéljükben | Nem vagyok Messiás, legfeljebb egy jókor jött szikra lehetek",News & Politics,0.0,Hungary,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.0,5.0,4.5,4.5,3.5,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,2.0,2.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0
19,Kazakhstan,Суд над Бишимбаевым: прямая трансляция из зала суда. 15 апреля 2024 года,News & Politics,3.5,Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
20,Kazakhstan,Суд над Бишимбаевым: прямая трансляция из зала суда. 17 апреля 2024 года,News & Politics,3.5,Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
21,Kazakhstan,Суд над Бишимбаевым: прямая трансляция из зала суда. 16 апреля 2024 года,News & Politics,3.5,Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
22,Norway,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Norway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,Netherlands,Grote politiecontrole: FATBIKES en BROMFIETSEN op de ROLLERBANK | #shorts,News & Politics,0.0,Netherlands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Netherlands,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Netherlands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Russia,Суд над Бишимбаевым: прямая трансляция из зала суда. 17 апреля 2024 года,News & Politics,3.5,Russia,,,,,,,,,,,,,,,,,,,,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
26,Sweden,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Sweden,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,Tanzania,Mvua zasababisha Mlima Kawetere kumeguka Ujiuji wafunika nyumba 20 kata ya Itezi Jijini Mbeya,News & Politics,3.5,Tanzania,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,6.0,5.0,5.0,5.0,4.5,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.5,4.0,4.5,5.0,5.0,5.0,5.0
28,Thailand,🔴 LIVE : ถ่ายทอดสด การออกรางวัลสลากกินแบ่งรัฐบาล งวดวันที่ 16 เม.ย. 2567,News & Politics,3.5,Thailand,6.0,4.5,4.0,2.5,6.0,5.5,4.5,4.0,3.5,3.5,,3.5,3.5,3.5,3.0,3.0,3.0,2.5,2.5,5.0,3.5,4.0,4.0,3.5,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,5.5,5.0,4.5,4.5,4.5,4.0,4.0,4.0,5.5,5.5,5.5,5.5,6.0,5.0,6.0,6.0,5.5
29,Thailand,"พม่าไขประตูคุก อพยพ""ออง ซาน ซูจี""! | DAILYNEWSTODAY 17/04/67",News & Politics,7.0,Thailand,6.0,4.5,4.0,2.5,6.0,5.5,4.5,4.0,3.5,3.5,,3.5,3.5,3.5,3.0,3.0,3.0,2.5,2.5,5.0,3.5,4.0,4.0,3.5,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,5.5,5.0,4.5,4.5,4.5,4.0,4.0,4.0,5.5,5.5,5.5,5.5,6.0,5.0,6.0,6.0,5.5
30,Thailand,อิสราเอลโดนอิหร่านถล่มยับ จะกล้าเอาคืนหรือไม่? : คนเคาะข่าว 16-04-67,News & Politics,3.5,Thailand,6.0,4.5,4.0,2.5,6.0,5.5,4.5,4.0,3.5,3.5,,3.5,3.5,3.5,3.0,3.0,3.0,2.5,2.5,5.0,3.5,4.0,4.0,3.5,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,5.5,5.0,4.5,4.5,4.5,4.0,4.0,4.0,5.5,5.5,5.5,5.5,6.0,5.0,6.0,6.0,5.5
31,Liechtenstein,Fed up homeowner confronts car thief in his driveway,News & Politics,0.0,Liechtenstein,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
