,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
26,Brazil,"Entrevista com Vincent Martella, o ""Greg"", de ""Todo Mundo Odeia o Chris"" | The Noite (16/04/24)",Comedy,50.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
27,Brazil,CAMPEÃO! 👑 Davi fala da sensação de VENCER O BBB 24! 💥 | A Invasão | Multishow,Comedy,50.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
28,Russia,Каха и фастфуд  #непосредственнокаха,Comedy,50.0,Russia,,49.6,52.2,56.2,51.6,53.9,53.9,56.2,55.4,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6
29,Russia,МУЖСКОЕ И ЖЕНСКОЕ. ПАРОДИЯ.  #иванабрамов #звезды #shorts,Comedy,50.0,Russia,,49.6,52.2,56.2,51.6,53.9,53.9,56.2,55.4,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6
30,Russia,ЗРЯ Я 24 ЧАСА СТОЯЛ НА ГВОЗДЯХ! #нонале,Comedy,50.0,Russia,,49.6,52.2,56.2,51.6,53.9,53.9,56.2,55.4,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6
31,Slovenia,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,50.0,Slovenia,,58.1,,,58.3,60.8,60.4,60.6,59.8,56.8,57.4,59.4,61.7,62.5,66.7,64.6,67.6,66.5
32,Sweden,Vi byter liv med 3 kändisar,Comedy,100.0,Sweden,73.8,,72.4,75.2,72.7,75.0,73.8,75.6,74.3,72.4,72.9,73.7,72.9,73.8,74.0,73.1,74.4,74.0
33,Ukraine,ЗРЯ Я 24 ЧАСА СТОЯЛ НА ГВОЗДЯХ! #нонале,Comedy,50.0,Ukraine,,48.0,52.5,51.7,51.7,50.6,50.8,50.3,47.1,43.0,39.6,40.3,43.1,46.6,47.0,52.7,53.1,50.7
34,Ukraine,ДЖЕЙХУН САФАРОВ і ЛЕВИ НА ДЖИПІ в ДЗК на ВИЖИВАННЯ,Comedy,50.0,Ukraine,,48.0,52.5,51.7,51.7,50.6,50.8,50.3,47.1,43.0,39.6,40.3,43.1,46.6,47.0,52.7,53.1,50.7
35,Ukraine,Каха и фастфуд  #непосредственнокаха,Comedy,50.0,Ukraine,,48.0,52.5,51.7,51.7,50.6,50.8,50.3,47.1,43.0,39.6,40.3,43.1,46.6,47.0,52.7,53.1,50.7
36,Vietnam,TRÙM BẢO KÊ #funny #nec #viral #comedy #foryou #trending #vietnamese #bruh #shorts,Comedy,50.0,Vietnam,,52.9,54.2,54.8,53.0,53.0,57.7,55.4,50.2,50.9,50.8,50.6,51.8,53.0,54.7,54.6,55.4,57.6
