,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,France,"La vérité VRAIE sur le CT Moto 🎙️ ""Peut-on continuer à se faire plaisir ?""",Autos & Vehicles,7.0,France,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1,Hungary,Ezek gyártottak Tigris tankot,Autos & Vehicles,3.5,Hungary,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.0,5.0,4.5,4.5,3.5,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,2.0,2.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0
2,Italy,LAMBORGHINI della POLIZIA 👮🏻🚨!  *Scopriamola...*,Autos & Vehicles,3.5,Italy,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,1.5,1.5,,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
