,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,Nigeria,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Nigeria,5.0,5.0,5.0,5.5,5.0,4.5,4.0,2.5,2.5,2.5,,2.5,6.0,6.0,6.0,5.5,5.0,5.5,5.0,4.5,4.5,6.0,6.5,7.0,6.5,6.5,5.0,3.5,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.5,4.5,4.5,4.5
13,New Zealand,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,New Zealand,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Singapore,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Singapore,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15,Uganda,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Uganda,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,5.0,,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.5,6.0,5.5,5.5,5.0,4.5,4.0,4.0,4.0,5.0,5.5,5.5,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,5.5
16,South Africa,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,South Africa,4.0,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17,Zimbabwe,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Zimbabwe,5.5,5.5,5.5,5.5,5.5,5.5,5.0,4.0,3.5,4.0,,4.5,4.5,5.0,5.0,5.5,5.5,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,5.5,5.5,5.0,5.0,5.5,5.0,5.0,5.5,5.5,5.5
18,El Salvador,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,El Salvador,2.5,2.5,2.5,2.5,3.0,4.0,5.0,4.5,5.0,4.5,,4.5,4.0,3.0,3.5,3.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5
19,Estonia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Estonia,,,,,,,,,,,,,,,,,,,,2.5,3.0,2.5,2.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Philippines,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Philippines,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,5.0,4.0,3.5,3.0,2.0,2.5,2.5,3.0,3.0,3.0,3.5,3.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5
21,Senegal,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Senegal,6.0,6.0,5.5,5.0,5.0,4.0,3.5,4.0,4.0,4.0,,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,2.5,3.0,3.0,3.0,3.0
22,Senegal,Good People Restore Faith in Humanity: A Heartwarming Act of Kindness on a Bus #shorts,Howto & Style,3.5,Senegal,6.0,6.0,5.5,5.0,5.0,4.0,3.5,4.0,4.0,4.0,,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,2.5,3.0,3.0,3.0,3.0
23,Croatia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Croatia,,,,,,,,,,,,,,,,,,,,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0
24,Hungary,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Hungary,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.0,5.0,4.5,4.5,3.5,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,2.0,2.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0
