,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,Qatar,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Qatar,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
12,Saudi Arabia,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Saudi Arabia,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
13,Tunisia,هارد لايف #15 خطوة بخطوة لعمل قولدن ابل فارم !!؟,Gaming,3.5,Tunisia,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,,5.0,5.0,5.0,5.5,5.5,5.0,4.0,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,3.5,3.5,3.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,3.0,3.5
14,Tunisia,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Tunisia,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.0,,5.0,5.0,5.0,5.5,5.5,5.0,4.0,4.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,3.5,3.5,3.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,3.0,3.5
15,Yemen,كم رشة داخل زجاجة العطر؟ 🤔🔥 (أكثر تجارب محيرة بالحياة),Gaming,7.0,Yemen,5.5,5.8,5.8,6.3,6.3,6.3,6.0,6.0,6.0,6.0,,6.0,5.8,5.8,5.8,5.8,6.0,6.0,5.5,5.5,5.0,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
16,Bulgaria,WWE is real💔,Gaming,0.0,Bulgaria,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.5,2.5,2.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17,Bosnia and Herzegovina,WWE is real💔,Gaming,0.0,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.5,4.5,4.0,4.0,3.5,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0
18,Denmark,WWE is real💔,Gaming,0.0,Denmark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Austria,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,3.5,Austria,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Germany,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,3.5,Germany,4.0,4.0,4.0,4.0,4.0,4.3,4.0,4.0,4.3,4.3,,4.3,4.0,4.0,4.0,4.0,4.0,3.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Belgium,WWE is real💔,Gaming,0.0,Belgium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,Canada,Can You Beat Minecraft in a Potato ONLY World?,Gaming,3.5,Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,Israel,WWE is real💔,Gaming,0.0,Israel,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.5,2.5,2.5,2.5,2.5
24,India,Go Go Go ! Dominating Top 1 Grandmaster V Badge Lobby  ❤ Free Fire Live,Gaming,7.0,India,2.5,2.5,2.5,3.5,4.0,2.0,2.0,2.0,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,4.0,4.0,4.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0
25,Malta,WWE is real💔,Gaming,0.0,Malta,1.5,1.0,1.0,1.0,1.5,2.0,2.0,2.5,2.5,2.5,,3.0,3.0,3.0,3.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5
26,Uganda,WWE is real💔,Gaming,0.0,Uganda,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,5.0,,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.5,6.0,5.5,5.5,5.0,4.5,4.0,4.0,4.0,5.0,5.5,5.5,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.5,5.5,5.5,5.0,5.5,5.5,5.5,5.5,5.5
27,South Africa,WWE is real💔,Gaming,0.0,South Africa,4.0,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
28,Chile,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,3.5,Chile,1.5,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,,5.5,5.5,5.5,5.5,5.5,4.5,3.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0
29,Colombia,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,3.5,Colombia,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.0,3.0,3.0,3.5,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.5
30,Costa Rica,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Costa Rica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Costa Rica,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,3.5,Costa Rica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Dominican Republic,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,3.5,Dominican Republic,2.5,2.5,3.0,3.0,3.5,3.0,2.0,2.5,2.5,1.5,,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.5,3.5,3.0,3.0,2.5,2.5,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
33,Dominican Republic,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Dominican Republic,2.5,2.5,3.0,3.0,3.5,3.0,2.0,2.5,2.5,1.5,,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.5,3.5,3.0,3.0,2.5,2.5,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
34,Dominican Republic,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",Gaming,3.5,Dominican Republic,2.5,2.5,3.0,3.0,3.5,3.0,2.0,2.5,2.5,1.5,,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.5,3.5,3.0,3.0,2.5,2.5,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
35,Ecuador,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,3.5,Ecuador,5.0,5.5,5.5,5.5,5.0,5.0,4.5,2.0,2.0,2.0,,2.0,2.0,2.5,2.5,2.5,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,3.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,2.5,2.5
36,Spain,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Spain,5.5,5.5,5.0,5.0,4.0,2.5,2.0,2.0,2.5,2.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Guatemala,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Guatemala,2.5,2.0,3.5,3.5,3.5,3.5,3.5,4.5,6.0,6.0,,6.0,5.5,4.0,3.0,3.0,3.0,3.0,3.5,4.0,4.5,4.5,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
38,Honduras,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Honduras,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.5,2.5,,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0
39,Honduras,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,3.5,Honduras,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.5,2.5,,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0
40,Mexico,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Mexico,4.0,3.5,3.5,3.5,4.0,3.5,4.0,3.5,3.5,3.5,,3.5,3.5,4.0,4.0,4.0,3.5,3.5,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,3.5,2.5,2.5,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5
41,Nicaragua,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Nicaragua,3.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.5,,5.5,5.0,5.0,5.5,5.0,4.5,5.0,3.0,3.0,3.5,4.5,4.5,4.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,4.0,4.0,4.5,4.5,3.5,3.5,3.5,4.5,4.5,5.5,5.5,5.5,6.0,6.5
42,Nicaragua,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,3.5,Nicaragua,3.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.5,,5.5,5.0,5.0,5.5,5.0,4.5,5.0,3.0,3.0,3.5,4.5,4.5,4.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,4.0,4.0,4.5,4.5,3.5,3.5,3.5,4.5,4.5,5.5,5.5,5.5,6.0,6.5
43,Panama,REACCIONANDO al FC BARCELONA 1-4 PSG *eliminados por una roja..*,Gaming,3.5,Panama,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,4.0,5.0,,4.5,3.5,4.5,4.5,5.0,5.5,6.5,3.0,3.0,3.5,3.0,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0
44,Panama,EL TORNEO MÁS GRANDE DEL MUNDO,Gaming,3.5,Panama,6.5,6.5,6.5,6.5,6.5,5.5,5.0,5.0,4.0,5.0,,4.5,3.5,4.5,4.5,5.0,5.5,6.5,3.0,3.0,3.5,3.0,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0
45,Peru,ROBANDO COCHES de POPPY PLAYTIME en GTA 5! 👻🚘 (Mods),Gaming,3.5,Peru,6.0,6.0,6.0,5.0,5.0,5.0,4.5,4.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.5,4.0,5.5,5.0,4.5,4.5,3.5,4.5,4.5,4.5,3.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,3.0
