,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Kazakhstan,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Kazakhstan,,54.8,57.2,58.9,53.8,55.1,57.4,57.6,58.4,59.7,59.5,55.3,58.8,60.1,62.7,61.7,62.6,61.4
28,Luxembourg,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Luxembourg,,,,,69.6,71.0,71.0,69.6,71.3,68.9,67.0,69.7,70.6,72.4,74.0,,,72.3
29,Lithuania,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Lithuania,,59.5,58.1,55.5,54.7,50.7,54.3,57.7,56.0,61.3,57.1,58.7,62.7,63.1,60.6,63.9,68.7,67.6
30,Latvia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Latvia,,47.1,46.7,51.5,46.7,,49.7,51.3,50.7,57.3,58.8,59.4,59.8,59.0,59.7,62.3,63.5,62.1
31,North Macedonia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,North Macedonia,,,44.9,,44.3,41.8,49.0,46.4,51.9,52.0,49.8,53.5,52.3,52.4,50.1,50.5,55.4,52.5
32,Malaysia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Malaysia,,60.1,62.4,58.1,53.9,55.8,57.9,59.1,57.7,59.6,63.2,,,53.4,54.3,60.1,60.1,60.1
33,Nepal,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Nepal,,45.7,47.5,44.4,49.2,43.5,38.1,42.3,46.0,49.8,48.1,51.0,47.4,49.1,54.5,59.8,46.2,53.6
34,Nepal,aj Papa k liye banaya Cotton Candy Cup Cake🤓 #shorts #spicyfoodcorner #shortvideo,Howto & Style,100.0,Nepal,,45.7,47.5,44.4,49.2,43.5,38.1,42.3,46.0,49.8,48.1,51.0,47.4,49.1,54.5,59.8,46.2,53.6
35,Nepal,Hajmola is bachpan ka pyaar #ytshorts #shorts,Howto & Style,0.0,Nepal,,45.7,47.5,44.4,49.2,43.5,38.1,42.3,46.0,49.8,48.1,51.0,47.4,49.1,54.5,59.8,46.2,53.6
36,Poland,Klientka wysłała po mnie TAKSÓWKĘ?😦,Howto & Style,50.0,Poland,55.9,,58.9,,57.7,58.9,56.5,58.8,57.5,57.5,60.1,61.6,62.0,61.1,62.4,61.4,59.8,62.6
37,Portugal,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Portugal,,54.0,,57.2,,51.0,52.2,49.9,51.6,51.3,50.8,54.5,57.1,59.2,61.0,57.7,61.8,59.7
38,Russia,Genial gadget para almacenar y lavar lentes de Let's GLOW,Howto & Style,50.0,Russia,,49.6,52.2,56.2,51.6,53.9,53.9,56.2,55.4,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6
39,Sri Lanka,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Sri Lanka,,43.5,44.1,44.3,42.1,39.8,41.8,42.3,43.6,42.7,46.1,,43.3,44.4,42.1,47.8,41.0,44.4
40,Sri Lanka,Good People Restore Faith in Humanity: A Heartwarming Act of Kindness on a Bus #shorts,Howto & Style,50.0,Sri Lanka,,43.5,44.1,44.3,42.1,39.8,41.8,42.3,43.6,42.7,46.1,,43.3,44.4,42.1,47.8,41.0,44.4
41,Slovenia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Slovenia,,58.1,,,58.3,60.8,60.4,60.6,59.8,56.8,57.4,59.4,61.7,62.5,66.7,64.6,67.6,66.5
42,Montenegro,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Montenegro,,,52.0,,48.0,54.5,52.2,52.2,50.7,52.8,51.3,53.0,56.1,56.5,53.9,57.2,,57.2
43,Serbia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Serbia,,,47.5,,43.8,44.6,48.1,51.5,51.0,51.1,53.2,57.5,51.2,59.4,62.4,60.4,62.5,61.4
44,Sweden,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Sweden,73.8,,72.4,75.2,72.7,75.0,73.8,75.6,74.3,72.4,72.9,73.7,72.9,73.8,74.0,73.1,74.4,74.0
45,Tanzania,Good People Restore Faith in Humanity: A Heartwarming Act of Kindness on a Bus #shorts,Howto & Style,50.0,Tanzania,,39.2,43.2,43.9,34.1,32.3,40.7,40.1,38.5,34.8,36.6,29.0,33.5,34.5,36.4,37.9,36.8,36.9
46,Turkey,Genial gadget para almacenar y lavar lentes de Let's GLOW,Howto & Style,50.0,Turkey,47.2,,56.2,51.2,52.1,54.9,52.7,53.1,48.9,55.8,55.1,53.3,56.1,51.9,48.7,48.6,43.7,46.1
47,Turkey,Çocukken herkes aynı :),Howto & Style,50.0,Turkey,47.2,,56.2,51.2,52.1,54.9,52.7,53.1,48.9,55.8,55.1,53.3,56.1,51.9,48.7,48.6,43.7,46.1
48,Pakistan,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Pakistan,52.3,,56.7,44.1,52.1,57.9,52.7,51.3,51.4,54.4,48.2,55.5,58.3,54.7,44.4,46.2,44.9,45.5
49,Vietnam,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Vietnam,,52.9,54.2,54.8,53.0,53.0,57.7,55.4,50.2,50.9,50.8,50.6,51.8,53.0,54.7,54.6,55.4,57.6
50,Cyprus,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Cyprus,,62.4,,,68.3,63.9,66.9,61.8,54.4,56.3,54.4,58.0,60.6,62.8,61.4,62.6,62.7,61.3
51,Cambodia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,50.0,Cambodia,,35.7,41.6,44.6,41.1,41.4,41.6,39.0,36.7,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9
