,Correlation
Sports,-0.23402039393527888
News & Politics,0.6395354818143909
Music,-0.034672332444000156
Entertainment,-0.16258242411695598
Gaming,0.378314371277636
People & Blogs,-0.2404570947708274
Film & Animation,-0.05909510237733921
Howto & Style,-0.08086045496667285
Comedy,-0.017497013100406304
Pets & Animals,0.5208650961914163
Education,0.28624584763563055
Science & Technology,-0.7581753965757456
Travel & Events,0.0
Autos & Vehicles,-0.2773500981126145
Nonprofits & Activism,-1.0
